Gene	IPA_BP
AC006539.4	0.00
AC006547.13	0.00
AC006547.14	0.00
AC006547.15	0.00
AC006547.8	0.00
AC006548.26	0.00
AC006942.4	0.00
AC006946.15	0.00
AC006960.5	0.00
AC006960.7	0.00
AC006967.1	0.00
AC006994.2	0.00
AC007003.1	0.00
AC007009.1	0.00
AC007038.7	0.00
AC007040.11	0.00
AC007040.6	0.00
AC007040.7	0.00
AC007040.8	0.00
AC007041.2	0.00
AC007050.17	0.00
AC007050.18	0.00
AC007064.22	0.00
AC007098.1	0.00
AC007099.1	0.00
AC007099.2	0.00
AC007115.3	0.00
AC007128.1	0.00
AC007136.1	0.00
AC007163.11	0.00
AC007163.6	0.00
AC007163.8	0.00
AC007163.9	0.00
AC007182.6	0.00
AC007192.6	0.00
AC007193.10	0.00
AC007193.8	0.00
AC007193.9	0.00
AC007204.1	0.00
AC007216.2	0.00
AC007228.11	0.00
AC007237.2	0.00
AC007238.1	0.00
AC007246.3	0.00
AC007248.6	0.00
AC007248.7	0.00
AC007253.1	0.00
AC007255.8	0.00
AC007256.5	0.00
AC007271.3	0.00
AC007272.1	0.00
AC007272.3	0.00
AC007277.3	0.00
AC007279.2	0.00
AC007282.6	0.00
AC007283.4	0.00
AC007285.6	0.00
AC007285.7	0.00
AC007292.3	0.00
AC007292.4	0.00
AC007292.6	0.00
AC007292.7	0.00
AC007308.6	0.00
AC007308.7	0.00
AC007316.3	0.00
AC007318.5	0.00
AC007319.1	0.00
AC007326.9	0.00
AC007327.5	0.00
AC007347.1	0.00
AC007349.7	0.00
AC007362.1	0.00
AC007362.3	0.00
AC007365.4	0.00
AC007375.1	0.00
AC007377.1	0.00
AC007382.1	0.00
AC007383.4	0.00
AC007383.6	0.00
AC007386.3	0.00
AC007386.4	0.00
AC007387.2	0.00
AC007389.1	0.00
AC007389.2	0.00
AC007395.3	0.00
AC007395.4	0.00
AC007401.1	0.00
AC007401.2	0.00
AC007405.8	0.00
AC007461.1	0.00
AC007551.2	0.00
AC007556.3	0.00
AC007557.1	0.00
AC007557.2	0.00
AC007557.4	0.00
AC007560.1	0.00
AC007563.1	0.00
AC007563.5	0.00
AC007566.10	0.00
AC007568.1	0.00
AC007618.3	0.00
AC007620.3	0.00
AC007679.1	0.00
AC007679.3	0.00
AC007679.4	0.00
AC007690.1	0.00
AC007740.1	0.00
AC007743.1	0.00
AC007750.5	0.00
AC007773.2	0.00
AC007773.3	0.00
AC007787.2	0.00
AC007790.4	0.00
AC007796.1	0.00
AC007875.3	0.00
AC007879.5	0.00
AC007881.4	0.00
AC007899.3	0.00
AC007919.18	0.00
AC007956.1	0.00
AC007966.1	0.00
AC007969.4	0.00
AC007969.5	0.00
AC007970.1	0.00
AC008060.5	0.00
AC008060.7	0.00
AC008063.2	0.00
AC008067.2	0.00
AC008069.2	0.00
AC008072.1	0.00
AC008073.7	0.00
AC008073.9	0.00
AC008074.3	0.00
AC008074.5	0.00
AC008147.1	0.00
AC008147.2	0.00
AC008154.4	0.00
AC008155.1	0.00
AC008155.2	0.00
AC008163.6	0.00
AC008173.1	0.00
AC008174.3	0.00
AC008265.2	0.00
AC008267.1	0.00
AC008268.2	0.00
AC008271.1	0.00
AC008277.1	0.00
AC008278.2	0.00
AC008278.3	0.00
AC008372.1	0.00
AC008387.1	0.00
AC008394.1	0.00
AC008440.5	0.00
AC008443.1	0.00
AC008498.1	0.00
AC008555.2	0.00
AC008565.1	0.00
AC008592.3	0.00
AC008592.4	0.00
AC008592.5	0.00
AC008686.1	0.00
AC008694.2	0.00
AC008694.3	0.00
AC008731.1	0.00
AC008738.1	0.00
AC008746.3	0.00
AC008746.9	0.00
AC008753.3	0.00
AC008753.6	0.00
AC008781.7	0.00
AC008834.2	0.00
AC008865.1	0.00
AC008914.1	0.00
AC008937.2	0.00
AC008937.3	0.00
AC008948.1	0.00
AC008964.1	0.00
AC008984.2	0.00
AC008984.5	0.00
AC008984.6	0.00
AC008984.7	0.00
AC009041.1	0.00
AC009052.12	0.00
AC009060.1	0.00
AC009061.1	0.00
AC009065.1	0.00
AC009093.1	0.00
AC009095.4	0.00
AC009107.1	0.00
AC009120.3	0.00
AC009120.6	0.00
AC009120.8	0.00
AC009133.12	0.00
AC009133.14	0.00
AC009133.17	0.00
AC009133.20	0.00
AC009134.1	0.00
AC009161.1	0.00
AC009166.5	0.00
AC009227.2	0.00
AC009228.1	0.00
AC009234.1	0.00
AC009237.10	0.00
AC009237.11	0.00
AC009237.13	0.00
AC009237.2	0.00
AC009237.4	0.00
AC009237.5	0.00
AC009237.6	0.00
AC009237.8	0.00
AC009245.3	0.00
AC009263.2	0.00
AC009274.6	0.00
AC009299.2	0.00
AC009299.4	0.00
AC009302.2	0.00
AC009302.4	0.00
AC009303.1	0.00
AC009303.3	0.00
AC009305.1	0.00
AC009310.1	0.00
AC009312.1	0.00
AC009313.1	0.00
AC009313.2	0.00
AC009362.2	0.00
AC009365.3	0.00
AC009365.4	0.00
AC009403.2	0.00
AC009413.2	0.00
AC009414.1	0.00
AC009469.1	0.00
AC009473.1	0.00
AC009474.1	0.00
AC009474.2	0.00
AC009480.3	0.00
AC009480.4	0.00
AC009500.2	0.00
AC009501.4	0.00
AC009502.1	0.00
AC009505.2	0.00
AC009506.1	0.00
AC009506.2	0.00
AC009517.2	0.00
AC009518.2	0.00
AC009518.3	0.00
AC009518.8	0.00
AC009541.1	0.00
AC009542.2	0.00
AC009784.4	0.00
AC009802.1	0.00
AC009892.10	0.00
AC009892.2	0.00
AC009892.5	0.00
AC009892.9	0.00
AC009945.4	0.00
AC009948.5	0.00
AC009948.7	0.00
AC009950.2	0.00
AC009951.1	0.00
AC009951.2	0.00
AC009955.8	0.00
AC009960.1	0.00
AC009960.2	0.00
AC009960.3	0.00
AC009961.2	0.00
AC009961.5	0.00
AC009963.3	0.00
AC009963.4	0.00
AC009963.5	0.00
AC009963.6	0.00
AC009965.1	0.00
AC009967.3	0.00
AC009969.1	0.00
AC009970.1	0.00
AC009974.11	0.00
AC010082.2	0.00
AC010091.4	0.00
AC010095.5	0.00
AC010095.6	0.00
AC010095.7	0.00
AC010127.3	0.00
AC010132.11	0.00
AC010136.2	0.00
AC010146.1	0.00
AC010148.1	0.00
AC010149.4	0.00
AC010226.4	0.00
AC010240.2	0.00
AC010240.3	0.00
AC010327.2	0.00
AC010336.1	0.00
