,Chr,Gene_length,Adipose - Subcutaneous_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Brain - Cerebellum_GTExTPM,Brain - Cortex_GTExTPM,Brain - Frontal Cortex (BA9)_GTExTPM,Brain - Hippocampus_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,Brain - Putamen (basal ganglia)_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Breast - Mammary Tissue_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,Cervix - Endocervix_GTExTPM,Colon - Sigmoid_GTExTPM,Colon - Transverse_GTExTPM,Esophagus - Gastroesophageal Junction_GTExTPM,Esophagus - Mucosa_GTExTPM,Esophagus - Muscularis_GTExTPM,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Kidney - Medulla_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Minor Salivary Gland_GTExTPM,Muscle - Skeletal_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Skin - Sun Exposed (Lower leg)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,opentargets_association_score,pharmgkb_drugged_gene,DGIdb_interaction_group_score,HIPred,SDI,pLI,O_GlcNAc_Score,RVIS_Score,IPA_BP
Brain - Putamen (basal ganglia)_GTExTPM,0.03324794620145232,0.11139814882910609,0.7792518804539047,0.7803437580914245,0.8063963055928068,0.7932155144725415,0.8001028039991585,0.792804667776286,0.7983321703621068,0.9807254671818066,0.969705406029266,0.9969310038115101,0.8844899475464706,0.8897667219013176,0.9640812525822073,0.9597595124403823,0.9791604137030316,0.9676248032971533,0.9868975287522019,1.0,0.9327731764777996,0.9672091626468274,0.7862290258835384,0.7424720703253839,0.6735466408213427,0.8038962951607402,0.8084144751327786,0.8264289922278331,0.7725779806897207,0.8218207340905452,0.7214064481667314,0.8206678344886992,0.802112052344413,0.8061714372279014,0.7994426952722485,0.7714003881017975,0.7784609104479013,0.6974800624957308,0.7537156343039201,0.7615174096267566,0.7669062750771174,0.8182498621551415,0.7984014158549758,0.76421411605239,0.8593808568573068,0.8024678358157585,0.7239438203278492,0.724323871931455,0.7418704182099296,0.7303521833434857,0.7812446491806943,0.6312792356885341,0.7942388592630635,0.8034827823710468,0.7601590993569439,0.6638054686867925,-0.042315719376983,,-0.05518803288643813,0.4588639920459379,0.2805763612559633,0.32480725970791297,0.0012733444810922993,-0.32338912235320993,-0.000490664775057921
Brain - Spinal cord (cervical c-1)_GTExTPM,0.018664625627067846,0.11969777888833122,0.8277189799963354,0.8280326106399305,0.8430071270729605,0.8356481782422719,0.8433821000351674,0.8338905133779878,0.8390134308571221,0.936027212461373,0.9041049374950532,0.9241943173151358,0.856575191970217,0.8571724575104037,0.8945119547465082,0.8913423515104886,0.9462902275983152,0.9383705918638928,0.9077676811516869,0.9327731764777996,1.0,0.975519187517257,0.8294457483376242,0.7863117438433934,0.7317673781303464,0.8374955130694236,0.8422742660437201,0.8578742203148927,0.8120031489174602,0.8527790332649993,0.7599154507629282,0.8521239508323925,0.8378787498720485,0.8344435888598387,0.8250828273928392,0.8030150199419147,0.8104225284293872,0.7374652052090404,0.8060197044495657,0.8002822694850403,0.797831372982599,0.864522911962317,0.8303397661273108,0.7958079958384842,0.8522851391558938,0.831940974247274,0.7571765599081426,0.7562134352055953,0.7905792160846514,0.7868523984741242,0.8181231542829168,0.6452716934769903,0.8243961830030159,0.837168221948695,0.7967156000778707,0.7272577402290868,-0.0508205025139214,,-0.00415011118387395,0.4320491517620616,0.2797292033620216,0.3008150324184338,-0.004276612575384541,-0.2933336299637688,-0.015504518111423738
Brain - Substantia nigra_GTExTPM,0.02591822080260433,0.11595437231217447,0.814384166055572,0.8154038725232273,0.8354189796005907,0.8247687509636217,0.8328001220059852,0.8220742279993258,0.8276637453789227,0.9725227567830685,0.9494782408926663,0.9614544850121287,0.8765081759178502,0.8801641133986301,0.938807575050851,0.93537236216962,0.9748738723950265,0.9744279142658072,0.9486185088621273,0.9672091626468274,0.975519187517257,1.0,0.8183330989902879,0.7698336785976749,0.7032014367250422,0.8285005627454255,0.8332042216954421,0.8509966040899293,0.8001666241594275,0.8473735072009421,0.7471147625337625,0.8465770201114937,0.8282966573445913,0.8333860394597068,0.8248257085924339,0.7985220271779268,0.804980238149411,0.7281693667836322,0.7902327788576226,0.7894455690457663,0.7917241214798293,0.8493019611025829,0.8210005174215325,0.7882379665259748,0.8662035414011172,0.8259899034620632,0.7450596490850239,0.7453077855098753,0.7734718803370759,0.7657242315607327,0.8090300064991032,0.6411215311347079,0.8187454128259608,0.8270930124534742,0.7858696301765974,0.6993577640076031,-0.05394922946723709,,-0.02635660295498397,0.44461332200561093,0.2849530609951136,0.31259957868301674,-0.005692534328335249,-0.30703928120508267,-0.004977685102458206
Breast - Mammary Tissue_GTExTPM,0.020768612985605287,0.079011258235566,0.9803528502349904,0.9761046680845481,0.909270812418858,0.9359764288362584,0.9550020149821238,0.9368699208045684,0.9576683101263953,0.7820195261814901,0.756667593245461,0.7793665138173662,0.7379340497684043,0.7427901163358793,0.7531865694124273,0.7403823630409044,0.7861112271283153,0.7838206096648402,0.7623550546557308,0.7862290258835384,0.8294457483376242,0.8183330989902879,1.0,0.8781240040644734,0.7688312214627054,0.9486899141538083,0.950379140634429,0.9338694827619182,0.9206457546296752,0.9464614538641903,0.8817938524217626,0.9423240704793715,0.9569313914601297,0.9146731263750771,0.9030673002144348,0.8922737343525681,0.9035436440057161,0.8275343813616803,0.9369737529019264,0.9399814564724436,0.8712606519488216,0.9437490497764486,0.9179785081103357,0.8863975018926142,0.8532239157803825,0.9457517008336715,0.8917831591219045,0.8957912746269727,0.9056781928812152,0.8751950570683513,0.9237104746025208,0.6641778153586053,0.9386961188928047,0.9448811316897323,0.930305470368196,0.7813852874625075,-0.07116738414275149,,0.008289153695218043,0.4123340297052195,0.2896666438063956,0.260521178614792,0.04660225073865803,-0.27408761742426235,0.027459525439514937
Cells - Cultured fibroblasts_GTExTPM,0.00952985480269297,0.09439489910356408,0.8804372830922187,0.874002691385904,0.8699521009500268,0.8842417153399555,0.8856084671343534,0.8845262133943482,0.8863196641218063,0.7422242632865736,0.7248480614974016,0.7379852579289692,0.7174965380136324,0.7148503456591342,0.7180364038985695,0.7149560657372355,0.7456041133876401,0.7455712210940256,0.7289590924912875,0.7424720703253839,0.7863117438433934,0.7698336785976749,0.8781240040644734,1.0,0.8097016022162056,0.8861943755737463,0.8829233000903146,0.872395469103105,0.8446999712448771,0.8754857005099173,0.8363672769212368,0.8747091621600295,0.8728006558229764,0.8465377677264404,0.8392581315631565,0.81246474463136,0.8245987449520259,0.7731296419473309,0.8399335367928047,0.8457350735304576,0.8254975305572035,0.862531123702613,0.8733026498108422,0.8228711628281007,0.8007528821816084,0.8574405151305092,0.8232523127427236,0.8225337647735215,0.8232363042191696,0.801390110559165,0.8484731445052148,0.6724266389850745,0.8490905312732703,0.8830670131984228,0.8598370834721025,0.73849988283695,-0.07467699747130088,,-0.027644499864390264,0.4216578755012081,0.27859104970707027,0.2653274885199209,0.0024364124874828755,-0.2713039786781141,-0.010452435959287675
Cells - EBV-transformed lymphocytes_GTExTPM,0.03521339174286231,0.05215618681812279,0.7689917665102846,0.769970464786063,0.7876760276255795,0.7619792045145415,0.7680939733490102,0.7566317462799311,0.7808296752750578,0.6703841443812238,0.6511585354787176,0.6692708533729858,0.6753885041042006,0.6669965355869385,0.6479338928160224,0.6459260387578217,0.6757093572033771,0.6758252711734186,0.6629314005414156,0.6735466408213427,0.7317673781303464,0.7032014367250422,0.7688312214627054,0.8097016022162056,1.0,0.7616294634045274,0.7641769916445109,0.7587129137898191,0.7739627927088768,0.7577868055168411,0.7791871516378961,0.7594210599954271,0.7633695883315844,0.7383885403514695,0.7490347213059071,0.7405534370120644,0.7521610996708914,0.7350390165125511,0.7745138830480124,0.7717557784452362,0.7514194327044439,0.7475284035862724,0.7629616504560107,0.7626003420178588,0.7306409380490028,0.7636143867159525,0.7453830529491556,0.7363118751377274,0.8033160617315889,0.8393990182593332,0.7813640765739778,0.6315065431394299,0.7614002472068846,0.7636306648767135,0.7571499317827757,0.8350433266183005,-0.08067652089522744,,-0.01010798368399378,0.37319147687474785,0.2659610642824838,0.23263093691518916,-0.004607089915530009,-0.23122264601007603,-0.05848520009612062
Cervix - Ectocervix_GTExTPM,0.024383572000615614,0.09206217917413553,0.94453375620321,0.9396675412792139,0.9055035066776954,0.943748837580086,0.9524893075733634,0.9459965461325964,0.9648508519433944,0.8008216039358548,0.7790163186484287,0.7988619396560643,0.7680332381216981,0.7726141130421951,0.7768814865516057,0.7637235913311908,0.8041766595619649,0.8028331207703818,0.7848209149300023,0.8038962951607402,0.8374955130694236,0.8285005627454255,0.9486899141538083,0.8861943755737463,0.7616294634045274,1.0,0.9923824020719628,0.9514840974822116,0.9061679899337386,0.9573770084491144,0.8638516463402421,0.9523099198979522,0.9728898229775012,0.9095717949700788,0.8945177817792782,0.8702693529305814,0.8814988064973335,0.8006348109433308,0.9066158604214306,0.8956586441757911,0.8590846509952333,0.9395853164905417,0.9488436949089526,0.8635266776039179,0.8635787303423366,0.9440296588173551,0.8645609523436673,0.8666406003903733,0.8819923922164754,0.8617101233189841,0.9015237834700817,0.6840263627192288,0.9226460106002873,0.9813468033085603,0.9407092637516631,0.7606918827592897,-0.0555147573458185,,0.0004985504195128043,0.4205111555312403,0.27444514381129087,0.27257768725441855,0.04927518121928322,-0.2919787548914652,0.020104941600746516
Cervix - Endocervix_GTExTPM,0.028556818040200185,0.08328686214304387,0.9442390894703723,0.9418223641747773,0.9115117825270566,0.9450316148353324,0.9539296082176686,0.944400014322951,0.9654818064117108,0.8056143057947592,0.782883686670479,0.8037626944953391,0.7707468575525541,0.7757100623040513,0.7814206393442503,0.7671224073593159,0.8093388709266288,0.8085979069504181,0.789569685447013,0.8084144751327786,0.8422742660437201,0.8332042216954421,0.950379140634429,0.8829233000903146,0.7641769916445109,0.9923824020719628,1.0,0.9539819720593541,0.9101470536298425,0.9587991855964098,0.8564989063695648,0.9538704693116654,0.978554775608934,0.9114597951881176,0.8960252715696566,0.8772859150651473,0.8891655363967755,0.8049282523733566,0.9127582779663233,0.8998232044256829,0.8580853220507861,0.9423854792284039,0.9526245060878547,0.8697401206055925,0.8727564056684272,0.9488126297897086,0.8589011491554035,0.8610351618334618,0.887644076211668,0.8703473389178475,0.9062825386061139,0.6879058661698488,0.9278188442433539,0.9845960102776508,0.9330162000939363,0.7674225507788428,-0.0528478753129247,,0.00029575127581260243,0.4161982144592939,0.27412995144499375,0.2692743689380884,0.050767567250901445,-0.29031030327066043,0.019997469690804907
Colon - Sigmoid_GTExTPM,0.01877628139914924,0.09787559243145502,0.934533246275974,0.9319651896879467,0.9037587519457057,0.9430423782109765,0.952420971277082,0.9477263040717155,0.9667207193932666,0.8241834360336843,0.8045467728883151,0.8220948528646528,0.7865610840524543,0.7902538481954727,0.8015854293017766,0.7911190228944296,0.8273540842087493,0.827852227416942,0.8088920901920181,0.8264289922278331,0.8578742203148927,0.8509966040899293,0.9338694827619182,0.872395469103105,0.7587129137898191,0.9514840974822116,0.9539819720593541,1.0,0.9331506589712966,0.9824297947081153,0.8466088982136951,0.9819006718782401,0.9525449077633865,0.9214221216645285,0.909536003963547,0.8621827159539667,0.8718354371180738,0.7948366684615977,0.8984679596862697,0.8853832401201671,0.8745611112541501,0.936279180717808,0.9230842700777321,0.8621533643086381,0.86842297614184,0.9337192334428622,0.8433629789156699,0.845850386575059,0.8891037924586322,0.8523799579217328,0.9065660730733999,0.6762659683821135,0.9092960670551632,0.9595964196583099,0.904916527586041,0.760513702895385,-0.06355232927562679,,-0.009355191315753767,0.43360195505117,0.2827238378603936,0.28738868271419604,0.0493522512008497,-0.29864086661168615,0.023989369264935067
Colon - Transverse_GTExTPM,0.021289701429150668,0.057035262692955294,0.9020013636493205,0.9060270700275123,0.8807159505199106,0.8942559884515727,0.9070064648489954,0.8912103556234948,0.9355845056650456,0.7687070955005734,0.7466138841325884,0.7665099421373369,0.7318305754244513,0.7364187228455643,0.7449568357939472,0.7326454463830971,0.7726532786337801,0.7713015640872878,0.7516998426010919,0.7725779806897207,0.8120031489174602,0.8001666241594275,0.9206457546296752,0.8446999712448771,0.7739627927088768,0.9061679899337386,0.9101470536298425,0.9331506589712966,1.0,0.9203492017834632,0.8826326656426866,0.9192475735757758,0.9166955903005176,0.8752347627592598,0.8675438776466043,0.8868618715823515,0.8913379161338774,0.823140009530358,0.9047941841929673,0.9154469542063727,0.8311387532278725,0.8919445240984305,0.8765927679564524,0.8879026932406056,0.8384064577529603,0.928526836110386,0.8618414560953851,0.862225830907402,0.9639427462193938,0.857789143310128,0.9391295355409424,0.6487215803826403,0.899438318939505,0.9065870371063948,0.9076985599687106,0.7781709817567846,-0.08454503146609252,,0.0013665332880375023,0.4049073318363165,0.29808451988426693,0.25235037616302336,0.04133750957177352,-0.2692702711740903,0.016859147912607834
