geneId	geneSymbol	score	humanScore	mouseScore	fishScore	ppiScore	Candidate Matches		
23095	KIF1B	0.957427108	0.957427108	0.494209116	0	0	FALSE		
23395	LARS2	0.957427108	0.957427108	0	0	0.504451651	FALSE		
3949	LDLR	0.957427108	0.957427108	0	0	0.523883779	FALSE		
26119	LDLRAP1	0.957427108	0.957427108	0	0	0.507615834	FALSE		
23592	LEMD3	0.957427108	0.957427108	0	0	0.506330209	FALSE		
4000	LMNA	0.957427108	0.957427108	0.674494918	0	0	FALSE		
4010	LMX1B	0.957427108	0.957427108	0.416240159	0	0.50589493	FALSE		
4015	LOX	0.957427108	0.957427108	0.506365014	0	0.515265717	FALSE		
9860	LRIG2	0.957427108	0.957427108	0	0	0.500154155	FALSE		
4040	LRP6	0.957427108	0.957427108	0	0	0.520906281	FALSE		
4069	LYZ	0.957427108	0.957427108	0.467389616	0	0.505699392	FALSE		
54585	LZTFL1	0.957427108	0.957427108	0	0	0.518119695	FALSE		
9935	MAFB	0.957427108	0.957427108	0.387689527	0	0.502680745	FALSE		
4144	MAT2A	0.957427108	0.957427108	0	0	0.501072411	FALSE		
4160	MC4R	0.957427108	0.957427108	0	0	0.506768072	FALSE		
4205	MEF2A	0.957427108	0.957427108	0.431381082	0	0	FALSE		
8076	MFAP5	0.957427108	0.957427108	0	0	0.518744484	FALSE		
4256	MGP	0.957427108	0.957427108	0.471441236	0	0.5006115	FALSE		
8195	MKKS	0.957427108	0.957427108	0.887688063	0	0.530735232	FALSE		
54903	MKS1	0.957427108	0.957427108	0	0	0.703602508	FALSE		
4547	MTTP	0.957427108	0.957427108	0.494209116	0	0.50289623	FALSE		
4629	MYH11	0.957427108	0.957427108	0.787925159	0	0.523343755	FALSE		
4625	MYH7	0.957427108	0.957427108	0	0	0	FALSE		
4638	MYLK	0.957427108	0.957427108	0	0	0.5038291	FALSE		
4763	NF1	0.957427108	0.957427108	0.494209116	0	0.518711522	FALSE		
1482	NKX2-5	0.957427108	0.957427108	0.51041698	0	0.511275097	FALSE		
4830	NME1	0.957427108	0.957427108	0	0	0.507195631	FALSE		
4843	NOS2	0.957427108	0.957427108	0.923935029	0	0	FALSE		
4846	NOS3	0.957427108	0.957427108	0.882196062	0	0.517214041	FALSE		
4851	NOTCH1	0.957427108	0.957427108	0	0	0.513783052	FALSE		
4853	NOTCH2	0.957427108	0.957427108	0.570663532	0	0	FALSE		
4854	NOTCH3	0.957427108	0.957427108	0.570354007	0	0.506392307	FALSE		
4867	NPHP1	0.957427108	0.957427108	0	0	0.543281116	FALSE		
27031	NPHP3	0.957427108	0.957427108	0	0	0	FALSE		
261734	NPHP4	0.957427108	0.957427108	0	0	0.543937419	FALSE		
2908	NR3C1	0.957427108	0.957427108	0.855397621	0	0.504252894	FALSE		
4306	NR3C2	0.957427108	0.957427108	0.465944823	0	0.504351116	FALSE		
286053	NSMCE2	0.957427108	0.957427108	0	0	0.500123898	FALSE		
8481	OFD1	0.957427108	0.957427108	0	0	0.504284995	FALSE		
255738	PCSK9	0.957427108	0.957427108	0	0	0.507628336	FALSE		
50940	PDE11A	0.957427108	0.957427108	0	0	0.504253791	FALSE		
5139	PDE3A	0.957427108	0.957427108	0	0	0.504232235	FALSE		
8622	PDE8B	0.957427108	0.957427108	0	0	0.501337778	FALSE		
51317	PHF21A	0.957427108	0.957427108	0	0	0.500900951	FALSE		
5310	PKD1	0.957427108	0.957427108	0.494209116	0	0.516814131	FALSE		
5311	PKD2	0.957427108	0.957427108	0.494209116	0	0.564964645	FALSE		
5346	PLIN1	0.957427108	0.957427108	0	0	0.501268855	FALSE		
5447	POR	0.957427108	0.957427108	0.416240159	0	0.500302238	FALSE		
11281	POU6F2	0.957427108	0.957427108	0	0	0	FALSE		
5566	PRKACA	0.957427108	0.957427108	0	0	0.520898448	FALSE		
5573	PRKAR1A	0.957427108	0.957427108	0.442034071	0	0.516803915	FALSE		
5592	PRKG1	0.957427108	0.957427108	0.902656606	0	0.529095288	FALSE		
5657	PRTN3	0.957427108	0.957427108	0	0	0	FALSE		
5740	PTGIS	0.957427108	0.957427108	0.887688063	0	0.502870791	FALSE		
26191	PTPN22	0.957427108	0.957427108	0.48914017	0	0.500223082	FALSE		
5978	REST	0.957427108	0.957427108	0.424099156	0	0.500137446	FALSE		
5979	RET	0.957427108	0.957427108	0	0	0.528876541	FALSE		
8490	RGS5	0.957427108	0.957427108	0.930627006	0	0.505275057	FALSE		
6327	SCN2B	0.957427108	0.957427108	0	0	0.510581315	FALSE		
6338	SCNN1B	0.957427108	0.957427108	0.885697086	0	0.518530345	FALSE		
6340	SCNN1G	0.957427108	0.957427108	0	0	0.518697871	FALSE		
10806	SDCCAG8	0.957427108	0.957427108	0	0	0.530800153	FALSE		
10019	SH2B3	0.957427108	0.957427108	0	0	0.502129463	FALSE		
81031	SLC2A10	0.957427108	0.957427108	0	0	0	FALSE		
2542	SLC37A4	0.957427108	0.957427108	0	0	0	FALSE		
79581	SLC52A2	0.957427108	0.957427108	0	0	0	FALSE		
113278	SLC52A3	0.957427108	0.957427108	0	0	0	FALSE		
4088	SMAD3	0.957427108	0.957427108	0.477894065	0	0	FALSE		
4089	SMAD4	0.957427108	0.957427108	0	0	0.533561625	FALSE		
4091	SMAD6	0.957427108	0.957427108	0.775457571	0	0.505307875	FALSE		
50485	SMARCAL1	0.957427108	0.957427108	0	0	0.500122213	FALSE		
10253	SPRY2	0.957427108	0.957427108	0	0	0.504952302	FALSE		
79783	SUGCT	0.957427108	0.957427108	0	0	0.500003976	FALSE		
7042	TGFB2	0.957427108	0.957427108	0	0	0.515853804	FALSE		
7043	TGFB3	0.957427108	0.957427108	0.462757781	0	0.58932028	FALSE		
7046	TGFBR1	0.957427108	0.957427108	0.432895716	0	0.515958151	FALSE		
7048	TGFBR2	0.957427108	0.957427108	0.432895716	0	0.516452044	FALSE		
7049	TGFBR3	0.957427108	0.957427108	0.395367293	0	0.503251347	FALSE		
7056	THBD	0.957427108	0.957427108	0.494209116	0	0.500289587	FALSE		
7066	THPO	0.957427108	0.957427108	0	0	0.50287432	FALSE		
65062	TMEM237	0.957427108	0.957427108	0	0	0	FALSE		
54968	TMEM70	0.957427108	0.957427108	0.431381082	0	0.50009392	FALSE		
8792	TNFRSF11A	0.957427108	0.957427108	0	0	0.503352395	FALSE		
4982	TNFRSF11B	0.957427108	0.957427108	0	0	0.507981926	FALSE		
7157	TP53	0.957427108	0.957427108	0.570663532	0	0	FALSE		
26146	TRAF3IP1	0.957427108	0.957427108	0	0	0.500725122	FALSE		
10155	TRIM28	0.957427108	0.957427108	0	0	0.502533647	FALSE		
22954	TRIM32	0.957427108	0.957427108	0	0	0.500048422	FALSE		
9319	TRIP13	0.957427108	0.957427108	0.453174067	0	0.500335657	FALSE		
123016	TTC8	0.957427108	0.957427108	0	0	0.530529076	FALSE		
9101	USP8	0.957427108	0.957427108	0	0	0.502559392	FALSE		
81839	VANGL1	0.957427108	0.957427108	0	0	0.507834988	FALSE		
7428	VHL	0.957427108	0.957427108	0.674494918	0	0.509232366	FALSE		
51057	WDPCP	0.957427108	0.957427108	0	0	0.512551616	FALSE		
57728	WDR19	0.957427108	0.957427108	0	0	0.516519632	FALSE		
65125	WNK1	0.957427108	0.957427108	0.887688063	0	0.528951447	FALSE		
7486	WRN	0.957427108	0.957427108	0.735403775	0	0.50453077	FALSE		
7490	WT1	0.957427108	0.957427108	0.399381277	0	0.544459574	FALSE		
63929	XPNPEP3	0.957427108	0.957427108	0	0	0.503151503	FALSE		
55249	YY1AP1	0.957427108	0.957427108	0	0	0.500016481	FALSE		
10269	ZMPSTE24	0.957427108	0.957427108	0.450562846	0	0.501331272	FALSE		
3265	HRAS	0.956623719	0	0.956623719	0	0.504709584	FALSE		
7100	TLR5	0.956623719	0	0.956623719	0	0.504874481	FALSE		
1816	DRD5	0.956623719	0	0.956623719	0	0.503877685	FALSE		
7425	VGF	0.953394675	0	0.953394675	0	0.50123047	FALSE		
119	ADD2	0.950494174	0	0.950494174	0	0.513312451	FALSE		
2332	FMR1	0.93390328	0.93390328	0	0	0.500626425	FALSE		
4582	MUC1	0.93390328	0.93390328	0	0	0.501273721	FALSE		
866	SERPINA6	0.93390328	0.93390328	0	0	0.500522845	FALSE		
4881	NPR1	0.932800606	0	0.932800606	0	0.505127081	FALSE		
1636	ACE	0.930627006	0.816284141	0.930627006	0	0.524991347	FALSE		
148	ADRA1A	0.930627006	0	0.930627006	0	0.502068886	FALSE		
2247	FGF2	0.930627006	0	0.930627006	0	0	FALSE		
3952	LEP	0.930627006	0.636856314	0.930627006	0	0.526277	FALSE		
9943	OXSR1	0.930627006	0	0.930627006	0	0.510248888	FALSE		
5732	PTGER2	0.930627006	0	0.930627006	0	0.50384575	FALSE		
6550	SLC9A3	0.930627006	0	0.930627006	0	0.515586779	FALSE		
27347	STK39	0.930627006	0	0.930627006	0	0.561024494	FALSE		
51666	ASB4	0.927779762	0	0.927779762	0	0.502267209	FALSE		
3764	KCNJ8	0.927008615	0	0.927008615	0	0.595625795	FALSE		
10699	CORIN	0.926383812	0	0.926383812	0	0.504777926	FALSE		
64131	XYLT1	0.924670242	0.924670242	0	0	0.544085	FALSE		
64132	XYLT2	0.924670242	0.924670242	0	0	0.543243185	FALSE		
150	ADRA2A	0.923935029	0	0.923935029	0	0.501552601	FALSE		
246	ALOX15	0.923935029	0	0.923935029	0	0.50319721	FALSE		
187	APLNR	0.923935029	0	0.923935029	0	0.501518604	FALSE		
2150	F2RL1	0.923935029	0	0.923935029	0	0.505222378	FALSE		
7076	TIMP1	0.923935029	0	0.923935029	0	0.523409678	FALSE		
64902	AGXT2	0.919937052	0	0.919937052	0	0.500309078	FALSE		
421	ARVCF	0.919866211	0.919866211	0	0	0.503998484	FALSE		
2812	GP1BB	0.919866211	0.919866211	0.395367293	0	0.50099001	FALSE		
7290	HIRA	0.919866211	0.919866211	0.453517388	0	0.500046134	FALSE		
221037	JMJD1C	0.919866211	0.919866211	0	0	0	FALSE		
389827	MYMK	0.919866211	0.919866211	0	0	0	FALSE		
6239	RREB1	0.919866211	0.919866211	0	0	0	FALSE		
6390	SDHB	0.919866211	0.919866211	0	0	0.549441349	FALSE		
6391	SDHC	0.919866211	0.919866211	0	0	0.524947517	FALSE		
6392	SDHD	0.919866211	0.919866211	0.566324798	0	0.55291396	FALSE		
9632	SEC24C	0.919866211	0.919866211	0	0	0.507337879	FALSE		
6899	TBX1	0.919866211	0.919866211	0.543648904	0	0.501733957	FALSE		
7353	UFD1	0.919866211	0.919866211	0	0	0.500288105	FALSE		
10272	FSTL3	0.919861617	0	0.919861617	0	0.500723264	FALSE		
