Gene,O_GlcNAc_Score
ELK1,7.43708576739468
USO1,7.19594620394039
MYPR,5.09575508944034
SPN1,4.03266271462294
RUVB2,13.9465450148747
CZIB,1.81556051557612
PRG4,6.96093127617589
CDK4,2.7583732876265
TEAD3,8.12517419121351
RPGF6,5.83866385987412
RS17,10.487574696812
ANGL3,4.03266271462294
PRC2A,14.5375418230475
TISD,2.7583732876265
SNR40,10.487574696812
COPB2,8.59920726916077
BACH,2.7583732876265
F221A,5.09575508944034
MTMR4,4.03266271462294
RT30,0.256505292994757
PRR30,5.44897155748371
SYEP,25.8808128420914
OTUD4,8.95884852237713
F231L,4.03266271462294
BASP1,5.09575508944034
PIPSL,7.67406025400917
KCY,2.7583732876265
NUP58,35.4891616519878
CK5P2,2.7583732876265
SNUT1,0.256505292994757
AMPL,0.256505292994757
