Gene	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism
ACSL1	NA	NA	NA	NA	NA
ACSL3	NA	NA	NA	NA	NA
ACSL5	NA	NA	NA	NA	NA
ACSM4	NA	NA	NA	NA	NA
ACSS1	NA	NA	NA	NA	NA
ACSS3	NA	NA	NA	NA	NA
ACTA2	0	0	0	0	0
ACTB	NA	NA	NA	NA	NA
ACTBL2	NA	NA	NA	NA	NA
ACTBP13	0	0	0	0	0
ACTG2	NA	NA	NA	NA	NA
ACTL7A	NA	NA	NA	NA	NA
ACTL7B	NA	NA	NA	NA	NA
ACTL8	NA	NA	NA	NA	NA
ACTN2	NA	NA	NA	NA	NA
ACTR10	NA	NA	NA	NA	NA
ACTR3	NA	NA	NA	NA	NA
ACTR3B	NA	NA	NA	NA	NA
ACTR5	NA	NA	NA	NA	NA
ACTR6	NA	NA	NA	NA	NA
ACVR1B	NA	NA	NA	NA	NA
ACVR2A	0	0	0	1	0
ACVRL1	NA	NA	NA	NA	NA
ACYP2	NA	NA	NA	NA	NA
ADAD1	NA	NA	NA	NA	NA
ADAD2	NA	NA	NA	NA	NA
ADAM10	NA	NA	NA	NA	NA
ADAM11	0	0	0	0	0
ADAM12	NA	NA	NA	NA	NA
ADAM15	NA	NA	NA	NA	NA
ADAM18	NA	NA	NA	NA	NA
ADAM19	NA	NA	NA	NA	NA
ADAM2	NA	NA	NA	NA	NA
ADAM20	NA	NA	NA	NA	NA
ADAM20P1	NA	NA	NA	NA	NA
ADAM21	NA	NA	NA	NA	NA
ADAM21P1	NA	NA	NA	NA	NA
ADAM22	NA	NA	NA	NA	NA
ADAM23	NA	NA	NA	NA	NA
ADAM28	NA	NA	NA	NA	NA
ADAM29	NA	NA	NA	NA	NA
ADAM32	NA	NA	NA	NA	NA
ADAM3A	NA	NA	NA	NA	NA
ADAM5	NA	NA	NA	NA	NA
ADAM7	NA	NA	NA	NA	NA
ADAM8	NA	NA	NA	NA	NA
ADAM9	NA	NA	NA	NA	NA
ADAMDEC1	NA	NA	NA	NA	NA
ADAMTS1	NA	NA	NA	NA	NA
ADAMTS12	NA	NA	NA	NA	NA
ADAMTS14	NA	NA	NA	NA	NA
ADAMTS16	NA	NA	NA	NA	NA
ADAMTS17	NA	NA	NA	NA	NA
ADAMTS18	NA	NA	NA	NA	NA
ADAMTS19	NA	NA	NA	NA	NA
ADAMTS2	NA	NA	NA	NA	NA
ADAMTS20	NA	NA	NA	NA	NA
ADAMTS3	NA	NA	NA	NA	NA
ADAMTS5	NA	NA	NA	NA	NA
ADAMTS6	NA	NA	NA	NA	NA
ADAMTS7	0	0	0	0	0
ADAMTS8	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0
ADAMTSL1	NA	NA	NA	NA	NA
ADAMTSL3	0	0	0	0	0
ADAMTSL4	NA	NA	NA	NA	NA
ADAP2	0	0	0	0	0
ADARB1	NA	NA	NA	NA	NA
ADARB2	NA	NA	NA	NA	NA
ADCK1	NA	NA	NA	NA	NA
ADCY10	NA	NA	NA	NA	NA
ADCY10P1	NA	NA	NA	NA	NA
ADCY2	NA	NA	NA	NA	NA
ADCY3	0	0	0	0	0
ADCY4	NA	NA	NA	NA	NA
ADCY5	0	0	0	0	2
ADCY8	NA	NA	NA	NA	NA
ADCY9	0	0	0	0	0
ADD2	NA	NA	NA	NA	NA
ADD3	NA	NA	NA	NA	NA
ADGB	NA	NA	NA	NA	NA
ADH1B	NA	NA	NA	NA	NA
ADH7	NA	NA	NA	NA	NA
ADHFE1	NA	NA	NA	NA	NA
ADIPOQ	NA	NA	NA	NA	NA
ADIPOQ-AS1	NA	NA	NA	NA	NA
ADIPOR2	NA	NA	NA	NA	NA
ADK	0	0	0	1	0
ADM	NA	NA	NA	NA	NA
ADNP	NA	NA	NA	NA	NA
ADO	0	0	0	0	0
ADORA1	0	0	0	1	2
ADORA3	NA	NA	NA	NA	NA
ADPGK-AS1	NA	NA	NA	NA	NA
ADPRH	NA	NA	NA	NA	NA
ADRA1B	NA	NA	NA	NA	NA
ADRA2A	NA	NA	NA	NA	NA
ADRA2B	3	0	0	0	3
ADRB1	3	0	0	0	3
ADRB2	3	0	0	0	3
ADRBK2	NA	NA	NA	NA	NA
ADSL	0	0	0	0	0
ADSS	NA	NA	NA	NA	NA
ADSSL1	NA	NA	NA	NA	NA
ADTRP	NA	NA	NA	NA	NA
AEBP2	NA	NA	NA	NA	NA
AEN	NA	NA	NA	NA	NA
AES	NA	NA	NA	NA	NA
AF020763	NA	NA	NA	NA	NA
AF047486	NA	NA	NA	NA	NA
AF055024	NA	NA	NA	NA	NA
AF075036	NA	NA	NA	NA	NA
AF085995	NA	NA	NA	NA	NA
AF086154	NA	NA	NA	NA	NA
AF086165	NA	NA	NA	NA	NA
AF086184	NA	NA	NA	NA	NA
AF086203	NA	NA	NA	NA	NA
AF086219	NA	NA	NA	NA	NA
AF086258	NA	NA	NA	NA	NA
AF086288	NA	NA	NA	NA	NA
AF086303	NA	NA	NA	NA	NA
AF131837	NA	NA	NA	NA	NA
AF188711	NA	NA	NA	NA	NA
AF198444	NA	NA	NA	NA	NA
AF279775	NA	NA	NA	NA	NA
AF279780	NA	NA	NA	NA	NA
AF279782	NA	NA	NA	NA	NA
AF339801	NA	NA	NA	NA	NA
AF339817	NA	NA	NA	NA	NA
AF387615	NA	NA	NA	NA	NA
AF401214	NA	NA	NA	NA	NA
AF508906	NA	NA	NA	NA	NA
AF520419	NA	NA	NA	NA	NA
AFAP1	NA	NA	NA	NA	NA
AFF1	NA	NA	NA	NA	NA
AFF3	NA	NA	NA	NA	NA
AFMID	NA	NA	NA	NA	NA
AFP	NA	NA	NA	NA	NA
AFTPH	NA	NA	NA	NA	NA
AGA	NA	NA	NA	NA	NA
AGAP1	NA	NA	NA	NA	NA
AGAP11	NA	NA	NA	NA	NA
AGAP5	NA	NA	NA	NA	NA
AGBL1	NA	NA	NA	NA	NA
AGBL1-AS1	NA	NA	NA	NA	NA
AGBL2	NA	NA	NA	NA	NA
AGBL4	NA	NA	NA	NA	NA
AGFG1	NA	NA	NA	NA	NA
AGGF1	NA	NA	NA	NA	NA
AGK	NA	NA	NA	NA	NA
AGL	NA	NA	NA	NA	NA
AGMAT	NA	NA	NA	NA	NA
AGMO	NA	NA	NA	NA	NA
AGO3	NA	NA	NA	NA	NA
AGPAT1	NA	NA	NA	NA	NA
AGPAT6	NA	NA	NA	NA	NA
AGPAT9	NA	NA	NA	NA	NA
AGR2	NA	NA	NA	NA	NA
AGR3	NA	NA	NA	NA	NA
AGT	3	NA	NA	NA	3
AGTPBP1	NA	NA	NA	NA	NA
AGTR1	NA	NA	NA	NA	NA
AGTRAP	NA	NA	NA	NA	NA
AGXT2	NA	NA	NA	NA	NA
AGXT2L1	NA	NA	NA	NA	NA
AGXT2L2	NA	NA	NA	NA	NA
AHCTF1	NA	NA	NA	NA	NA
AHCTF1P1	NA	NA	NA	NA	NA
AHCYL1	NA	NA	NA	NA	NA
AHDC1	NA	NA	NA	NA	NA
AHI1	NA	NA	NA	NA	NA
AHNAK	NA	NA	NA	NA	NA
AHR	NA	NA	NA	NA	NA
AHRR	NA	NA	NA	NA	NA
AHSA2	NA	NA	NA	NA	NA
AHSG	NA	NA	NA	NA	NA
AHSP	NA	NA	NA	NA	NA
AIF1L	NA	NA	NA	NA	NA
AIFM2	NA	NA	NA	NA	NA
AIFM3	NA	NA	NA	NA	NA
AIG1	NA	NA	NA	NA	NA
AIM1	NA	NA	NA	NA	NA
AIM1L	NA	NA	NA	NA	NA
AIM2	NA	NA	NA	NA	NA
AIMP2	NA	NA	NA	NA	NA
AIRE	NA	NA	NA	NA	NA
AJ420489	NA	NA	NA	NA	NA
AJ606316	NA	NA	NA	NA	NA
AJAP1	NA	NA	NA	NA	NA
AK000154	NA	NA	NA	NA	NA
AK000840	NA	NA	NA	NA	NA
AK001394	NA	NA	NA	NA	NA
AK001558	NA	NA	NA	NA	NA
AK001582	NA	NA	NA	NA	NA
AK002090	NA	NA	NA	NA	NA
AK021570	NA	NA	NA	NA	NA
AK021739	NA	NA	NA	NA	NA
AK021804	NA	NA	NA	NA	NA
AK021888	NA	NA	NA	NA	NA
AK021977	NA	NA	NA	NA	NA
AK022787	NA	NA	NA	NA	NA
AK022793	NA	NA	NA	NA	NA
AK022898	NA	NA	NA	NA	NA
AK023033	NA	NA	NA	NA	NA
AK023040	NA	NA	NA	NA	NA
AK023304	NA	NA	NA	NA	NA
AK023457	NA	NA	NA	NA	NA
AK023515	NA	NA	NA	NA	NA
AK023566	NA	NA	NA	NA	NA
AK023809	NA	NA	NA	NA	NA
AK024119	NA	NA	NA	NA	NA
AK024242	NA	NA	NA	NA	NA
AK024243	NA	NA	NA	NA	NA
AK024998	NA	NA	NA	NA	NA
AK025061	NA	NA	NA	NA	NA
AK025321	NA	NA	NA	NA	NA
AK025664	NA	NA	NA	NA	NA
AK025793	NA	NA	NA	NA	NA
AK025975	NA	NA	NA	NA	NA
AK026502	NA	NA	NA	NA	NA
AK026777	NA	NA	NA	NA	NA
AK054710	NA	NA	NA	NA	NA
AK054726	NA	NA	NA	NA	NA
AK054749	NA	NA	NA	NA	NA
AK054753	NA	NA	NA	NA	NA
AK054845	NA	NA	NA	NA	NA
AK054905	NA	NA	NA	NA	NA
AK054972	NA	NA	NA	NA	NA
AK055055	NA	NA	NA	NA	NA
AK055145	NA	NA	NA	NA	NA
AK055272	NA	NA	NA	NA	NA
AK055332	NA	NA	NA	NA	NA
AK055459	NA	NA	NA	NA	NA
AK055550	NA	NA	NA	NA	NA
AK055803	NA	NA	NA	NA	NA
AK055811	NA	NA	NA	NA	NA
AK055980	NA	NA	NA	NA	NA
AK056073	NA	NA	NA	NA	NA
AK056077	NA	NA	NA	NA	NA
AK056081	NA	NA	NA	NA	NA
AK056098	NA	NA	NA	NA	NA
AK056196	NA	NA	NA	NA	NA
AK056211	NA	NA	NA	NA	NA
AK056228	NA	NA	NA	NA	NA
AK056252	NA	NA	NA	NA	NA
AK056351	NA	NA	NA	NA	NA
AK056368	NA	NA	NA	NA	NA
AK056432	NA	NA	NA	NA	NA
AK056485	NA	NA	NA	NA	NA
AK056490	NA	NA	NA	NA	NA
AK056505	NA	NA	NA	NA	NA
AK056623	NA	NA	NA	NA	NA
AK056625	NA	NA	NA	NA	NA
AK056686	NA	NA	NA	NA	NA
AK056689	NA	NA	NA	NA	NA
AK056817	NA	NA	NA	NA	NA
AK056897	NA	NA	NA	NA	NA
AK056982	NA	NA	NA	NA	NA
AK057187	NA	NA	NA	NA	NA
AK057218	NA	NA	NA	NA	NA
AK057316	NA	NA	NA	NA	NA
AK057317	NA	NA	NA	NA	NA
AK057332	NA	NA	NA	NA	NA
AK057438	NA	NA	NA	NA	NA
AK057448	NA	NA	NA	NA	NA
AK057451	NA	NA	NA	NA	NA
AK057455	NA	NA	NA	NA	NA
AK057471	NA	NA	NA	NA	NA
AK057473	NA	NA	NA	NA	NA
AK057513	NA	NA	NA	NA	NA
AK057515	NA	NA	NA	NA	NA
AK057554	NA	NA	NA	NA	NA
AK057596	NA	NA	NA	NA	NA
AK057887	NA	NA	NA	NA	NA
AK074396	NA	NA	NA	NA	NA
AK090681	NA	NA	NA	NA	NA
AK090700	NA	NA	NA	NA	NA
AK090788	NA	NA	NA	NA	NA
AK090895	NA	NA	NA	NA	NA
AK090904	NA	NA	NA	NA	NA
AK091028	NA	NA	NA	NA	NA
AK091265	NA	NA	NA	NA	NA
AK091365	NA	NA	NA	NA	NA
AK091889	NA	NA	NA	NA	NA
AK092080	NA	NA	NA	NA	NA
AK092087	NA	NA	NA	NA	NA
AK092135	NA	NA	NA	NA	NA
AK092251	NA	NA	NA	NA	NA
AK092313	NA	NA	NA	NA	NA
AK092451	NA	NA	NA	NA	NA
AK092541	NA	NA	NA	NA	NA
AK092619	NA	NA	NA	NA	NA
AK093002	NA	NA	NA	NA	NA
AK093026	NA	NA	NA	NA	NA
AK093107	NA	NA	NA	NA	NA
AK093114	NA	NA	NA	NA	NA
AK093124	NA	NA	NA	NA	NA
AK093193	NA	NA	NA	NA	NA
AK093203	NA	NA	NA	NA	NA
AK093214	NA	NA	NA	NA	NA
AK093219	NA	NA	NA	NA	NA
AK093264	NA	NA	NA	NA	NA
AK093356	NA	NA	NA	NA	NA
AK093362	NA	NA	NA	NA	NA
AK093370	NA	NA	NA	NA	NA
AK093403	NA	NA	NA	NA	NA
AK093416	NA	NA	NA	NA	NA
AK093519	NA	NA	NA	NA	NA
AK093525	NA	NA	NA	NA	NA
AK093758	NA	NA	NA	NA	NA
AK093892	NA	NA	NA	NA	NA
AK094117	NA	NA	NA	NA	NA
AK094188	NA	NA	NA	NA	NA
AK094196	NA	NA	NA	NA	NA
AK094343	NA	NA	NA	NA	NA
AK094352	NA	NA	NA	NA	NA
AK094413	NA	NA	NA	NA	NA
AK094462	NA	NA	NA	NA	NA
AK094561	NA	NA	NA	NA	NA
AK094599	NA	NA	NA	NA	NA
AK094611	NA	NA	NA	NA	NA
AK094733	NA	NA	NA	NA	NA
AK094786	NA	NA	NA	NA	NA
AK094909	NA	NA	NA	NA	NA
AK094916	NA	NA	NA	NA	NA
AK094929	NA	NA	NA	NA	NA
AK094934	NA	NA	NA	NA	NA
AK094945	NA	NA	NA	NA	NA
AK094963	NA	NA	NA	NA	NA
AK094985	NA	NA	NA	NA	NA
AK095132	NA	NA	NA	NA	NA
AK095187	NA	NA	NA	NA	NA
AK095210	NA	NA	NA	NA	NA
AK095242	NA	NA	NA	NA	NA
AK095285	NA	NA	NA	NA	NA
AK095310	NA	NA	NA	NA	NA
AK095365	NA	NA	NA	NA	NA
AK095498	NA	NA	NA	NA	NA
AK095618	NA	NA	NA	NA	NA
AK095621	NA	NA	NA	NA	NA
AK095633	NA	NA	NA	NA	NA
AK095699	NA	NA	NA	NA	NA
AK095721	NA	NA	NA	NA	NA
AK096023	NA	NA	NA	NA	NA
AK096233	NA	NA	NA	NA	NA
AK096249	NA	NA	NA	NA	NA
AK096291	NA	NA	NA	NA	NA
AK096314	NA	NA	NA	NA	NA
AK096329	NA	NA	NA	NA	NA
AK096335	NA	NA	NA	NA	NA
AK096475	NA	NA	NA	NA	NA
AK096499	NA	NA	NA	NA	NA
AK096549	NA	NA	NA	NA	NA
AK096766	NA	NA	NA	NA	NA
AK096932	NA	NA	NA	NA	NA
AK096982	NA	NA	NA	NA	NA
AK096987	NA	NA	NA	NA	NA
AK097142	NA	NA	NA	NA	NA
AK097143	NA	NA	NA	NA	NA
AK097161	NA	NA	NA	NA	NA
AK097190	NA	NA	NA	NA	NA
AK097193	NA	NA	NA	NA	NA
AK097447	NA	NA	NA	NA	NA
AK097453	NA	NA	NA	NA	NA
AK097493	NA	NA	NA	NA	NA
AK097500	NA	NA	NA	NA	NA
AK097571	NA	NA	NA	NA	NA
AK097590	NA	NA	NA	NA	NA
AK097624	NA	NA	NA	NA	NA
AK097625	NA	NA	NA	NA	NA
AK097686	NA	NA	NA	NA	NA
AK097701	NA	NA	NA	NA	NA
AK097722	NA	NA	NA	NA	NA
AK097759	NA	NA	NA	NA	NA
AK097816	NA	NA	NA	NA	NA
AK097836	NA	NA	NA	NA	NA
AK097853	NA	NA	NA	NA	NA
AK097866	NA	NA	NA	NA	NA
AK097902	NA	NA	NA	NA	NA
AK097921	NA	NA	NA	NA	NA
AK098012	NA	NA	NA	NA	NA
AK098198	NA	NA	NA	NA	NA
AK098263	NA	NA	NA	NA	NA
AK098333	NA	NA	NA	NA	NA
AK098438	NA	NA	NA	NA	NA
AK098560	NA	NA	NA	NA	NA
AK098570	NA	NA	NA	NA	NA
AK098763	NA	NA	NA	NA	NA
AK098769	NA	NA	NA	NA	NA
AK123177	NA	NA	NA	NA	NA
AK123263	NA	NA	NA	NA	NA
AK123300	NA	NA	NA	NA	NA
AK123440	NA	NA	NA	NA	NA
AK123450	NA	NA	NA	NA	NA
AK123582	NA	NA	NA	NA	NA
AK123584	NA	NA	NA	NA	NA
AK123632	NA	NA	NA	NA	NA
AK123816	NA	NA	NA	NA	NA
AK123889	NA	NA	NA	NA	NA
AK123934	NA	NA	NA	NA	NA
AK123947	NA	NA	NA	NA	NA
AK123998	NA	NA	NA	NA	NA
AK124056	NA	NA	NA	NA	NA
AK124066	NA	NA	NA	NA	NA
AK124131	NA	NA	NA	NA	NA
AK124179	NA	NA	NA	NA	NA
AK124194	NA	NA	NA	NA	NA
AK124197	NA	NA	NA	NA	NA
AK124226	NA	NA	NA	NA	NA
AK124262	NA	NA	NA	NA	NA
AK124326	NA	NA	NA	NA	NA
AK124399	NA	NA	NA	NA	NA
AK124439	NA	NA	NA	NA	NA
AK124484	NA	NA	NA	NA	NA
AK124523	NA	NA	NA	NA	NA
AK124832	NA	NA	NA	NA	NA
AK124857	NA	NA	NA	NA	NA
AK124930	NA	NA	NA	NA	NA
AK124939	NA	NA	NA	NA	NA
AK125001	NA	NA	NA	NA	NA
AK125040	NA	NA	NA	NA	NA
AK125078	NA	NA	NA	NA	NA
AK125128	NA	NA	NA	NA	NA
AK125237	NA	NA	NA	NA	NA
AK125257	NA	NA	NA	NA	NA
AK125412	NA	NA	NA	NA	NA
AK125558	NA	NA	NA	NA	NA
AK125594	NA	NA	NA	NA	NA
AK125686	NA	NA	NA	NA	NA
AK125749	NA	NA	NA	NA	NA
AK125821	NA	NA	NA	NA	NA
AK125858	NA	NA	NA	NA	NA
AK125960	NA	NA	NA	NA	NA
AK126213	NA	NA	NA	NA	NA
AK126253	NA	NA	NA	NA	NA
AK126307	NA	NA	NA	NA	NA
AK126318	NA	NA	NA	NA	NA
AK126334	NA	NA	NA	NA	NA
AK126351	NA	NA	NA	NA	NA
AK126616	NA	NA	NA	NA	NA
AK127087	NA	NA	NA	NA	NA
AK127124	NA	NA	NA	NA	NA
AK127191	NA	NA	NA	NA	NA
AK127224	NA	NA	NA	NA	NA
AK127270	NA	NA	NA	NA	NA
AK127400	NA	NA	NA	NA	NA
AK127609	NA	NA	NA	NA	NA
AK127787	NA	NA	NA	NA	NA
AK127846	NA	NA	NA	NA	NA
AK127888	NA	NA	NA	NA	NA
AK127963	NA	NA	NA	NA	NA
AK128013	NA	NA	NA	NA	NA
AK128059	NA	NA	NA	NA	NA
AK128216	NA	NA	NA	NA	NA
AK128252	NA	NA	NA	NA	NA
AK128400	NA	NA	NA	NA	NA
AK128569	NA	NA	NA	NA	NA
AK128593	NA	NA	NA	NA	NA
AK128673	NA	NA	NA	NA	NA
AK128708	NA	NA	NA	NA	NA
AK128734	NA	NA	NA	NA	NA
AK128880	NA	NA	NA	NA	NA
AK129879	NA	NA	NA	NA	NA
AK130400	NA	NA	NA	NA	NA
AK130481	NA	NA	NA	NA	NA
AK131020	NA	NA	NA	NA	NA
AK131325	NA	NA	NA	NA	NA
AK131337	NA	NA	NA	NA	NA
AK291611	NA	NA	NA	NA	NA
AK295617	NA	NA	NA	NA	NA
AK296276	NA	NA	NA	NA	NA
AK297683	NA	NA	NA	NA	NA
AK297919	NA	NA	NA	NA	NA
AK298056	NA	NA	NA	NA	NA
AK298300	NA	NA	NA	NA	NA
AK298596	NA	NA	NA	NA	NA
AK299452	NA	NA	NA	NA	NA
AK307192	NA	NA	NA	NA	NA
AK307246	NA	NA	NA	NA	NA
AK309717	NA	NA	NA	NA	NA
AK310493	NA	NA	NA	NA	NA
AK310665	NA	NA	NA	NA	NA
AK311005	NA	NA	NA	NA	NA
AK311212	NA	NA	NA	NA	NA
AK311213	NA	NA	NA	NA	NA
AK311291	NA	NA	NA	NA	NA
AK311383	NA	NA	NA	NA	NA
AK311445	NA	NA	NA	NA	NA
AK311497	NA	NA	NA	NA	NA
AK311558	NA	NA	NA	NA	NA
AK316321	NA	NA	NA	NA	NA
AK4	NA	NA	NA	NA	NA
AK5	NA	NA	NA	NA	NA
AK7	NA	NA	NA	NA	NA
AK8	NA	NA	NA	NA	NA
AK9	NA	NA	NA	NA	NA
AKAP12	NA	NA	NA	NA	NA
AKAP13	NA	NA	NA	NA	NA
AKAP2	NA	NA	NA	NA	NA
AKAP6	NA	NA	NA	NA	NA
AKAP7	NA	NA	NA	NA	NA
AKAP9	NA	NA	NA	NA	NA
AKIRIN1	NA	NA	NA	NA	NA
AKIRIN2	NA	NA	NA	NA	NA
AKNAD1	NA	NA	NA	NA	NA
AKR1A1	0	NA	NA	NA	0
AKR1B1	NA	NA	NA	NA	NA
AKR1B10	0	NA	NA	NA	0
AKR1C1	NA	NA	NA	NA	NA
AKR1C2	NA	NA	NA	NA	NA
AKR1C3	NA	NA	NA	NA	NA
AKR1C6P	NA	NA	NA	NA	NA
AKR1D1	NA	NA	NA	NA	NA
AKR1E2	NA	NA	NA	NA	NA
AKR7A3	NA	NA	NA	NA	NA
AKR7L	NA	NA	NA	NA	NA
AKT1	NA	NA	NA	NA	NA
AKT2	2	5	3	NA	NA
AL022341.3	NA	NA	NA	NA	NA
AL049935	NA	NA	NA	NA	NA
AL050132	NA	NA	NA	NA	NA
AL080243.1	NA	NA	NA	NA	NA
AL109706	NA	NA	NA	NA	NA
AL109792	NA	NA	NA	NA	NA
AL110181	NA	NA	NA	NA	NA
AL136123.1	NA	NA	NA	NA	NA
AL137535	NA	NA	NA	NA	NA
AL139319.1	NA	NA	NA	NA	NA
AL157440	NA	NA	NA	NA	NA
